0,0,0,0
1,1,FP,15.7790184
2,1,FP,23.8134861
3,1,FP,15.46955109
4,1,FP,24.11913872
5,1,FP,26.92532539
6,1,FP,22.63069153
7,1,FP,17.25959778
8,1,FP,18.84460449
9,1,FP,16.11852646
1,1,DP,13.17429543
2,1,DP,16.50547981
3,1,DP,15.71154594
4,1,DP,19.74344254
5,1,DP,16.60203934
6,1,DP,20.60484886
7,1,DP,14.3392086
8,1,DP,22.16553688
9,1,DP,16.80660248
1,1,OA,15.51270485
2,1,OA,12.68434525
3,1,OA,20.90668678
4,1,OA,27.42576599
5,1,OA,19.8404789
6,1,OA,17.07410812
7,1,OA,19.62471008
8,1,OA,23.20599556
9,1,OA,13.72027397
1,2,FP,14.75572586
2,2,FP,10.27798653
3,2,FP,7.965326309
4,2,FP,8.822441101
5,2,FP,6.352901459
6,2,FP,7.608413696
7,2,FP,7.818460464
8,2,FP,12.74013519
9,2,FP,15.53750038
1,2,DP,10.67328453
2,2,DP,15.54362679
3,2,DP,13.50212097
4,2,DP,13.98992538
5,2,DP,12.95518875
6,2,DP,12.32981682
7,2,DP,11.01207733
8,2,DP,14.78743553
9,2,DP,13.51594925
1,2,OA,12.76254654
2,2,OA,11.74211502
3,2,OA,15.04039764
4,2,OA,12.60948181
5,2,OA,12.66050339
6,2,OA,14.00351524
7,2,OA,11.24477386
8,2,OA,12.44020462
9,2,OA,14.3597126
1,3,FP,6.695985794
2,3,FP,6.13951683
3,3,FP,4.878282547
4,3,FP,6.91986084
5,3,FP,5.892038345
6,3,FP,6.554365158
7,3,FP,8.79740715
8,3,FP,12.59052277
9,3,FP,11.47498322
1,3,DP,13.08774948
2,3,DP,15.43617249
3,3,DP,16.84832573
4,3,DP,12.9160881
5,3,DP,8.646965027
6,3,DP,12.15338707
7,3,DP,13.50879669
8,3,DP,10.75148582
9,3,DP,16.4129734
1,3,OA,10.54215431
2,3,OA,15.89417458
3,3,OA,9.593963623
4,3,OA,9.449243546
5,3,OA,18.75424385
6,3,OA,14.534235
7,3,OA,10.3161335
8,3,OA,21.65555954
9,3,OA,16.08371735
